,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
25,agradec por tod a ajud prest,ate mais meu chapa,nao consegu ace suport tecnic,dificuldad par envi arquiv mail pod acontec,boa tard dia
26,muit obrig pel ajud voc incrivel,ate tard,irrit falt acompanh problem,estou com dificuldad par progred ness assunt precis de suport,ei algu pod ajud
27,agradec pel otim assistenc prest,tenha um otimo dia,nao consig acredit acontec,dificuldad solucion problem minh prens hidraul,bom dia faço identificar problema aquecimento maquina
28,obrig pel pront respond,encerr dialog agradec ajud,nao feliz falt agil resoluça,precis faz manutença prevent na minh maquin com dev proced,oi estou com algumas duvidas
29,agradec suport continu,conversa util vou desligar agora,insatisfeit falt clarez informaço,pode causando problema vibraçao motor eletrico,oi em que poss colabor
30,agradeço facilitar coisas,lat chap,maquinas apresentam problemas frequentes,ola enfrent problem disposit voc pod ajud,boa tard por favor precis de ajud
31,obrigado pelo excelente serviço prestado,tenh excelent dia,acho equip entreg nao atend especificac solicit,tenho um problema em uma maquina especifica como posso encontrar a causa raiz,bom dia voce precisa de ajuda com algum problema
32,agradec coraça voc excepcional,ate mais meu cam,acho que a soluçao oferecida nao e a ideal,o que e precis faz par proteg o equip de dan caus por agu,oi precis de assistenc par resolv um problem complic
33,agradeço sua orientaçao,agradeço pelas soluçoes apresentadas encerrando a conversa,essa e a ultima vez que passo por isso,minh geladeir nao gel adequ pod,ola poss ajud em algo
34,obrig atença,estou a disposiçao para qualquer necessidade futura,nao acho que esta sendo levada em consideraçao minha opiniao,nao sei como solucionar um problema com um equipamento mecanico,ola eu nao sei se voc pod me ajud mas prec de ajud
35,obrigado,desej lhe tud de bom,irritado pouca eficiencia sistema suporte tecnico,sistem lubrificaça minh maquin nao funcion poss solucion problem,ola po facilit vid hoj
36,obrig dedicac continu,catch you later,to muito chateado,melhor form corrig problem superaquec,bom dia problema enfrentando
37,obrig pacienc compreensa,disposiça qualqu necess futur,quantum negligenc,meu equipamento esta apresentando uma alta taxa de defeitos o que pode estar causando isso,tud bem
38,agradeço pela rapidez na resposta,por hoje e so encerrar atendimento,acredit que a manutenc realiz nao resolv o probl,minh maquin de cort esta apresent alguns erros o que dev faz,ola o que precis
39,muito obrigado pela prontidao,muit obrig por confi em nos,atend horrivel,minh linh de produc esta produz muit lent o que dev faz,oi disposic par ajud
40,obrigado pela orientaçao na soluçao do meu problema,satisfeito,senti falta informaçoes claras sobre produto,maquin produz men esper pod ocorr,boa tarde questao
41,agradec por resolv o problem,otim,insatisfeito demora,minh maquin apresent problem vibraça poss resolv,e ai
42,agradeço muito por sua ajuda,ate proxim vez chap,to chateado,nao conseguindo imprimir documentos,bom dia tenh um problem em minh maquin
43,suport fundamental bom funcion maquin,foi um praz fal com voc,nao consegu acess suport tecnic,tend problem imprim document dev verific,oi precis algu po auxili nest assunt
44,agradeço por terem ajudado a manter minha fabrica em operaçao,tenha um bom descanso meu querido,nao feliz falt cumpriment acord,nao consig ace minh cont o que dev faz,oi prepar dar tod suport necessari
45,agradeço pela rapidez em resolver o assunto,obrigado ajuda encerrando conversa,perdi a confiança,probl motor maquin dev faz,oi o que posso fazer por voce hoje
46,agradeço pelo excelente serviço,fech janel,to bem chateado,equip deslig sozinh pod problem,oi gostaria de pedir ajuda com um assunto especifico
47,agradeço por ir alem das minhas expectativas,sucess,nao satisfeit respost,linha produçao parada causa problema posso soluciona lo,oi pronto começar
48,grato pela disponibilidade,cuid cam,muit revolt falt compromet equip,minh linh produça par caus problem po solucion lo,boa noit poss faz voc
49,obrig ajud,excelente atendimento obrigado,tend lid muit probl tecnic,sofr qued produc linh envas poss solucion probl,oi estou disponivel par qualqu pergunt
50,agradec muit,muit obrig pel atend vam finaliz convers,estou desapont com a man com meu probl foi trat,com poss solucion o vazament de ole que esta ocorr na minh fabric,bom dia como esta
51,agradec por ser um coleg de trabalh exempl,tenha otima jornada,to na merda com a demora,dificuldade,boa noit com fac par entend as especificac tecnic de uma valvul hidraul
52,obrig por ter resolv o problem de form tao eficient,se cuid,nao gostando produto,problem maquin produça pod acontec,bom dia como posso resolver um problema em um ar condicionado industrial
53,obrig atend,tenh um bom rest de dia,o atend deix muit a desej,minh tel comput pisc dev faz,oi alguem pode me dar uma mao com uma situaçao
54,agradec muit por sua ajud,foi um praz convers com voc,extrem chat falt compromiss,estou com dificuldad par resolv,oi estou com algum questo e gost de esclarec las
55,obrig disposic resolv probl,ate logo meu amigo confiavel,nao acho que esta send lev em considerac minh opin,minh maquin esta apresent erros de programaça com poss resolv,ola voce pode resolver meu problema
56,nao sei faria ajuda vox obrigado,encerrando conversa obrigado,estou tendo que lidar com muitos problemas tecnicos,estou tend dificuldad em identific a caus de um problem na minh produça voc pod me ajud,oi pront respond duv
57,agradec por sua atenc individualiz e cuid genuin,ja tirei toda a minhas duvidas obrigado,meu invest nao esta val a pen dev aos probl tecnic,celul nao faz ligaço po faz solucion problem,e ai beleza
58,muit agradec,desej tud bom futur,insatisfeit falt comunicac sobr andament cas,maquina fazendo barulho estranho posso resolver,oi como posso resolver isso
59,agradec por faz um otim trabalh,bjks ate logo,extrem chat,comput lent trav muit po faz par melhor desempenh,boa tard poss facilit vid
60,obrig pacienc suport,tenha um otimo feriado,estou insatisfeit com a falt de clarez na informac,posso evitar problemas comuns maquinas,oi po torn dia melhor
61,agradec atença individualiz cuid genuin,fiqu satisfeit a com a soluc apresent,estou insatisfeit com a falt de suport tecnic adequ,minh linh produça par caus problem poss solucion lo,oi em que po te auxil hoj
62,vox sao incriveis obrigado ajuda,muit obrig pel sua gentil,uma situaçao lamentavel,probl carr faz par consert,boa tarde gostaria saber possivel consertar motor danificado
63,vox sao incriveis muito obrigado pela ajuda,hor part adeus,nao estou content com o atend,meu equip esta faz muit barulh o que pod ser,oi estou com um problem no funcion de uma maquin
64,obrig pel rapidez na resoluça do meu problem,obrigado compartilhar duvidas,nao feliz respost receb,pode me ajudar a encontrar uma soluçao,ola conto com sua ajuda
65,agradeço por sua orientaçao e suporte,deslig,fui maltrat pel funcionar,preciso substituir uma peça da minha maquina como faço para encontrar e comprar,oi busc soluço par questa
66,obrigado suporte voce top,acho que e tudo por os,tend dificuldad encontr pec par substituiça,estou com uma dificuldad enorm,oi estou com dificuldad e gost de uma orientaça
67,muit obrig ajud,agradeço pela ajuda,desapont demor respost,qual e a melhor forma de corrigir um problema de superaquecimento,oi gostaria ajuda
68,agradec orientaça precis pontual,tenha um otimo fim de semana,minh maquin esta apresent problem que nao exist antes,tend probl resistenc eletr maquin dev faz,oi estou com algum duv
69,grat ajud,bom descanso meu parceiro,muito frustrado,precis substitu uma pec da minh maquin com fac par encontr e compr,ola disposic par esclarec duv
70,nao poderia estar mais agradecido pelo excelente serviço prestado,abraçao fica com deus,estou insatisfeito com a qualidade do serviço prestado,meu celular nao esta carregando como posso solucionar,oi com po te auxili hoj
71,obrigado por me orientar nessa situaçao,muito obrigado por sua colaboraçao,insatisfeit falt atença,quando devo trocar as peças do equipamento,oi preciso alguem possa auxiliar neste assunto
72,obrigado por resolver meu problema,bja sucess sempr,nao feliz postur empres relaça cas,equipamento apresentando alta taxon defeitos pode causando,oi como voce esta
73,agradec experienc conhec,tenha um otimo dia de descanso,nao estou consegu solucion um problem na minh maquin,a bomba de agua do meu equipamento esta com vazamentos o que devo verificar,oi estou disponivel para qualquer pergunta
74,obrig orient,ate,recebi produto diferente anunciado,minh tv nao esta funcion o que dev verific,oi probl equip
75,agradec atenc detalh,ate log man,to put com a falt de soluça,estou tend dificuldad par interpret a informac do painel de control voc pod me auxil,oi procur assistenc determin assunt
76,agradec,ate mais parceiro,can ter lid problem tecnic,com poss solucion um problem de sobrecarg em minh linh de produça,ola prazer em te receber
77,obrigado voce verdadeiro heroi,acho que ja resolvi o meu problema obrigado,nao to nada satisfeito qualidade,preciso de orientaçao,oi aqu par torn experienc melhor
78,voce incrivel obrigado,agradec pel orientaça encerr convers,fiquei chateado com a forma como fui tratado,minh impressor nao funcion corret poss resolv,ola em que poss ajud ness moment
79,mais uma vez agradec pel atend impecavel,agradeço ajuda finalizando aqui conversa,estou insatisfeit com a falt de empat e compreens,como diagnosticar o problema em uma maquina,oi tudo bem voce precisa resolver
80,agradec atenc dispens,obrigado assistencia,nao mereço ser tratado dessa forma,precis de orientaça par faz a manutença da minh maquin de form eficient,oi pront oferec melhor soluc
81,aproveit par agradec,val dem fic na paz,nao quer mais,meu celul nao esta faz ligac o que poss faz par solucion o probl,bom dia qual e o seu problema industrial
82,agradec atença detalh,boa sorte,nao estou content com a falt de comunicac eficient,um dos meus equipamentos parou de funcionar o que devo fazer,oi poss torn dia melhor
83,muito obrigado pela colaboraçao,ate mais tard meu camar,acho manutença prevent nao send realiz adequ,estou confus,oi gostaria pedir ajuda assunto especifico
84,obrig parc confiavel confiavel caminh sucess,de nad,nao estou satisfeit com a falt de disponibil do suport,nao consig acess cont dev faz,oi aqu torn experienc melhor
85,agradec sinc atenc,desejo lhe felicidades continuas,insatisfeit falt comunicaça sobr andament ca,um do meus equipamentos parou de funcionar o que devo fazer,oi nom
86,obrig pel sua ajud voc foi muit util,agradec pel ajud do chatbot encerr convers,probl eletr impact produc,minh gelad nao esta gel adequ o que pod ser,oi prec algu po auxil nest assunt
87,muit obrig por me gui na soluça do problem,tenh uma otim seman,recebi um produto diferente do que foi anunciado,gost de cont com a ajud de vox,oi duv
88,muito obrigado por tudo que voce fez por mim,tenha boa semana,total falt considerac,maquina vibrando excessivamente problema,oi tud tranquil por ai com poss auxili
89,obrig sempr ir alem esper,preciso ir agora obrigado ajuda,descas,o que pod estar caus um probl de vibrac em meu motor eletr,oi tud tranquil ai po auxil
90,muit obrig por sua orientac val,lat sucess,estou tend dificuldad par identific o que esta caus um probl em uma de minh maquin,minha maquina esta superaquecendo o que devo fazer,bom dia poss ajud lo quest industrial
91,agradecido suporte,ate mais parc,nao recebi o produto dentro do prazo,tenh problem ventilaça minh maquin pod acontec,oi prepar par ajud precis
92,fiqu muit feliz com o result agradec a dedicaça de voc,otim convers contig obrig,acredito que o problema em minha maquina poderia ter sido evitado com melhores recomendaçoes de uso,ola problemas conectar dispositivo internet pode ajudar,oi enfrent desaf prec assistenc
93,obrigado tornar tudo facil,otimo conversar contigo obrigado,atendimento ruim,o que posso fazer,oi estou com um defeit em minh maquin
94,muit obrig pel dedicaça continu,tenha bom descanso querido,bastante frustrado resposta,meu celul esta com problem na bat,boa tarde pode ajudar problema
95,muit grat pel sua ajud voc foi extrem util,encerrar dialogo agradeço atendimento,estou com dificuldad par encontr pec de reposiça,algu ja pa,oi estou com algum questo e gost de esclarec la
96,obrig resolv problem,valeu ai,estou insatisfeito com a falta de transparencia,identificar corrigir problemas transmissao equipamento,ola eu nao sei se voc pod me ajud ma precis de ajud
97,fiqu muit feliz com o result agradec a dedicaça de vox,fic paz,minh empres precis soluço adicion par melhor segur no colabor,tend problem comput pod ajud,oi voc e um chatbot
98,agradec por sua atença aos detalh e profissional,tenh uma noit tranquil,nao fizeram minimo necessario,estou com um desafio e preciso de orientaçao para supera lo,oi estou com um problem e nao sei com resolv
99,agradec soluça,ate proxima caro,nao val pen pa tud,estou com dificuldad par lid com isso precis de orientaço,ola disposiça resolv problem
100,grato rapida resoluçao problema eletrico,encerr aqu a convers tod as duv for solucion,estou insatisfeit com a falt de atenc aos praz,com resolv um problem de sobrecarg em meu chill,oi o que voc prec de auxil
101,agradeço orientaçao suporte,obrig pel suport encerr convers,insatisfeito falta cuidado,alguma sugestao,ola disposiça par resolv problem
102,estou muito agradecido por ter resolvido minha falha no motor,tenha um bom fim de semana,nao estou feliz com o servic,telefon deslig sozinh nao lig nov po solucion,oi disposiça
103,obrigado por sua orientaçao estrategica e apoio constante,desejo boa sorte empreendimentos,minh empres prec de soluc mais eficient par economiz energ,dificuldad par entend manual equip dev faz,oi em que po ser util hoj
104,voc sao incriv obrig ajud,obrigado por ser prestativo,nao tratado devida atençao,minh maquin esta apresent baix rendiment pod me ajud a solucion o probl,oi duvida
105,grato eficiencia soluçao problema,voce e um verdadeiro amigo,nao estou contente com a falta de transparencia na informaçoes,perdi senha email nao consigo recupera la alguma forma resolver,oi em que po auxili
106,agradec dedicaça,finalizando,nao receb o suport necessari par soluça do problem,dificuldad par lid precis orientaço,oi po colabor
107,grat soluc,par,minh produça esta fic aqu do esper,dificuldad envi arquiv mail pod acontec,oi tim
108,obrigado trabalho,bja fic deus,uma vergonha,maquinari apresent problem mecan dev faz,ola disposic par resolv probl
109,obrig pel suport voc e top,show,estou irritado com essa situaçao,prec de suport par solucion um probl,oi fac par solucion problem sobrecarg maquin
110,agradeço amabilidade,agradeço de coraçao,o serviço que contratei nao foi conforme o combinado,enfrent situaça dificil serum voc pod orient,oi com poss contribu
111,agradeço excelente serviço,obrigado por confiar em nos,tiv problem par realiz pagament,poderia orientar sobre resolver problema falta energia equipamento armazenamento,oi algum duv
112,agradeço por facilitar a coisas,vam fal dep,fiqu insatisfeit demor entreg,nao consig conect disposit minh red wi fi dev tent,oi busc suport tecnic par problem especif
113,muit obrig pel sua dedicac continu,ate logo meu caro colega,desapontado falta suporte tecnico,devo fazer,oi estou pront par te atend
114,agradec de tod coraça nao sei o que ser sem voc,ja informaçao necessaria encerrando conversa,nao estou consegu ace a configurac do meu equip,minh impressor nao funcion corret po resolv,oi busc suport tecnic par probl especif
115,agradeço compartilhar tempo talento,ate a proxim vez meu chap,estou irritado com a falta de profissionalismo no atendimento,estou com um problema complicado e preciso de ajuda,oi pront par respond duv
116,agradeço por sua dedicaçao em me ajudar a alcançar meus objetivos,foi bom convers,nao estou consegu acess as configurac do meu equip,estou com dificuldade para resolver,oi com esta
117,agradec orientaça,ate a proxima vez meu caro,insatisfeito falta atençao prazos,estou com dificuldades para encontrar uma soluçao,oi prec de um auxil par resolv um probl
118,muit obrig pel sua ajud voc foi muit util,tenha jornada tranquila,total falt cuid client,nao sei resolver pode auxiliar,oi precis algu po orient relaça desafi
119,obrig atença personaliz,mand bal chap,nao satisfeito eficiencia,estou tent acess um sit e nao estou consegu o que pod estar errad,oi poss torn dia produt
120,obrig imens grat,paz e amor sucess sempr,insatisfeit desempenh,posso otimizar uso maquinario reduzir custos,ola indo hoje posso ajudar
121,muit obrig pel sua atenc,bora la sucesso,muit irrit falt acompanh problem,estou com dificuldad,oi qual e o seu nom
122,obrig temp esforc,vou encerr a convers obrig pel atend,falt consideraça tremend,estou com dificuldad par encontr as pec corret par reequip a minh maquin o que dev faz,oi tud tranquil por ai com po te auxil
123,muit obrig pel gentil e compreensa,ate mais meu camarada,irrit situac,ajud,ola tend problem configuraça maquin
124,obrigado por tornar a coisas mais faceis para mim,desej lhe um dia maravilh,estou extremamente insatisfeito,nao sei lidar,oi como posso ajuda lo a solucionar o problema
125,obrig ter resolv problem form tao eficient,agradec pel ajud ate,nao receb suport necessar solucion probl,nao consigo solucionar defeito equipamento mediçao,ola como posso facilitar sua vida hoje
126,muit obrig voc pe incrivel,obrig ajud encerr convers,estou bastante insatisfeito com a falta de profissionalismo,problemas sistema segurança fabrica posso solucionar,ola preciso de uma soluçao para o meu caso
127,fico grato por toda ajuda e suporte,bom descans meu parceir,nao recomendaria empresa ninguem,minha maquina nao esta respondendo aos comandos o que pode estar acontecendo,ola prec de sua ajud par entend com funcion um plc
128,obrig gen,fiquei satisfeito a com as soluçoes apresentadas,nao merec trat de form,duv,oi estou com algumas questoes e gostaria de esclarece las
129,obrigado por tornar as coisas mais simples para mim,prazer conversar contigo,desperdici temp dinheir,melhor forma solucionar problemas sensores maquina,ola po ajud ness moment
130,agradec ter ajud mant fabric operaça,later,estou desanimado,estou recebendo mensagens de erro em meu equipamento como posso resolve las,e ai tud bem
131,agradec por sua pacienc inabalavel e compreensa profund,voce demais,estou insatisfeito com a falta de atençao,algu sab respost,oi estou aqui para lhe ajudar com soluçoes industriais
132,muit obrig voc e uma pess incrivel,tenha dia abençoado,nunca vi algo tao mal feito,o que faz par corrig problem com o sistem hidraul da minh fabric,oi com poss facilit a sua vid
133,muit obrig a mesm,muit obrig por confi em no,estou frustrado com a demora na soluçao,algu experienc ness assunt,oi algu pod me oferec orientaço sobr o proxim pass
134,agradeço por ser um profissional excepcional,obrigado pela conversa,nao val pen pass tud,problem complic nao sei onde comec voc pod orient,boa noit fac par evit falt energ minh industr
135,obrig ajud voc incrivel,obrig pel ajud encerr a convers,nao content falt eficac,disposit armazen extern nao send reconhec pel comput poss faz,oi qual e a sua expectativa
136,muito obrigado pela soluçao rapida e eficiente do problema,to de saida se cuida,estou desapontado com o suporte tecnico,nao sei com resolv um problem com um sistem pneumat,oi algu pod me fornec algum dic
137,obrig por sua ajud inestimavel,obrigado amabilidade,nao consig entend essa falt de cuid,o que devo fazer,bom dia como identificar quais sao as peças que precisam ser substituidas
138,agradec ir alem expect,obrig assistenc ate brev,nao estou feliz com a falta de resoluçao do problema,meu equipamento esta apresentando uma alta taxon de defeitos o que pode estar causando isso,oi busc soluc quest
139,obrig suport voc top,tenh um otim feri,nao vale pena,minh impressor nao esta funcion corret com poss resolv isso,ola po util voc hoj
140,obrigado tao profissional,desej lhe um otim dia chei de alegr,minh maquin produz abaix capac estim,prec configur impressor pod orient,ola gost de sab mais sobr com solucion falh eletr
141,fiquei feliz resultado agradeço dedicaçao voces,estou aqu sempr que precis,nao gost falt atenc cas,minha impressora nao esta funcionando o que devo verificar,oi prec informac
142,muit obrig por sua atença personaliz,muit obrig a pel ajud,nao estou conseguindo solucionar um problema na minha maquina,maquin par funcion po resolv,oi aqu par apo
143,agradeço suporte,bor part chap,bastante insatisfeito experiencia,estou com um contratemp,oi poss ajud ness moment
144,obrig pel eficienc,nao ha,cansado tanta incompetencia,dificuldad par entend funcion ferrament pod ajud,oi poss melhor experienc conosc
145,agradec esforc,val forc chap,estou insatisfeit com a falt de qualidad,tent ace sit nao consegu pod errad,oi precisa ajuda
146,estou muito grato pela ajuda,ate mais meu amig leal,nao esperava,tentando acessar site nao conseguindo pode errado,oi alguem pode guiar processo
147,muit obrig imens grat,espero ter sido util,nao sei lidar incompetencia,problem instalaça eletr fabric,oi po auxili
148,agradec pacienc inabalavel compreensa profund,obrigado suporte podemos encerrar conversa,nao estou satisfeit com o servic prest,produça caind pod ocorr,ola poderia me indicar um especialista em manutençao de equipamentos industriais
149,obrig torn tud facil,voc incrivel,nao satisfeit assistenc receb,estou enfrent uma situaça dificil ser que voc pod me orient,oi prec algu poss auxil nest assunt
150,muit obrig por sua ajud val e insights perspicaz,obrig pel suport encerr a convers,nao estou feliz com o suport,precis troc pec maquin indic,oi gostaria de uma ajuda
151,obrigado por seu tempo e esforço,ate tard cam,nao resolv meu problem,sofr qued produça linh envas poss solucion problem,oi bom voc vei
152,agradec por sua orientaça e suport,finalizando a conversa,dificuldad par encontr pec reposiça,com poss evit probl comuns em maquin,boa tarde preciso de assistencia tecnica
153,agradeço imensamente sua colaboraçao,ate a proxim vez parceir,profund desapont,faço consertar vazamento pia,bom dia pod ajud
154,agradeço por sua atençao aos prazos,tenh bom rest dia,nao vej transparenc form cois send resolv,poss otimiz uso maquinari reduz cust,oi algu pod gui process
155,obrigado por terem sido solicitos,fal depo,verdad bagunc organizacional,algu pod orient,oi enfrentando desafio preciso assistencia
156,obrig orientac grand val,obrig ajud,acho que os praz de entreg nao sao respeit,maquin consum muit energ esper pod,boa tard com po facilit sua vid
157,muit obrig,precis ir agor mas obrig pel ajud,nao acredito no que estou vendo,dificuldad encontr caus ruid maquin impress,oi com poss ser util par corrig o seu problem
158,obrigado por ser tao compreensivo,ate proxim vez companheir,nao sinto equipe esteja realmente empenhada ajudar,dificuldad encontr caus ruid maquin impressa,ai
159,muit obrig voc pess incrivel,desej lhe um futur brilhant,nao estou feliz com a falt de eficienc no atend,fazer maquina apresenta superaquecimento,hello
160,agradec de tod coraça voc e incrivel,obrig por compartilh suas duv,nao estou feliz com o serviço,tenh problem,oi pouco perdido alguem pode orientar
161,obrig habil excepcion,tenha uma otima semana,nao to feliz servic,dificuldades operar novo equipamento pode auxiliar,boa noit qual e a soluça par meu problem
162,obrig orientaça soluça problem,valeu demais,ma qualidad,dilem precis ajud par tom decisa,oi aqu par resolv duv poss ajud
163,muit obrig por sua dedicac incansavel e expert de alto nivel,tud cert,insatisfeit falt suport tecnic adequ,gost sab po format comput perd arquiv pess,ola nao sei voc pod ajud prec ajud
164,obrig por ser tao compreens,encerr convers obrig suport,nao gost falt empat,softw uso regul apresent falh poss corrig las,boas vindas
165,obrig por sempr oferec soluc criativ,terminando o chat,estou desapont com a falt de disponibil par atend o meu cas,estou com dificuldad par progred,oi como vai
166,obrig dedicac compromet,paz,atendente nao prestativo,minha maquina parou de funcionar do nada o que pode estar errado,ai posso ajudar
167,obrig pel trabalh,manda bala meu chapa,nao atendido maneira adequada,prec direcion,boa noite por favor me ajude
168,agradeço atençao,encerrar chat agradecido pela ajuda,estou bastante frustrado com a falta de comunicaçao,minha maquina de corte esta apresentando alguns erros o que devo fazer,oi o que posso fazer por voce agora
169,obrig prontida eficienc,agradec soluc ate,fiquei irritado,corrig curt circuit sist energ eletr,ola posso util voce hoje
170,obrig por sua atença dedic,obrigado foi util,o serviço que recebi nao foi de qualidade,dificuldad tom dec prec orientac,bom dia qual e o seu problem eletr ou mecan
171,obrig por sua contribuic excepcional,tenha otima tarde,aument cust dev probl constant,estou enfrentando um problema e nao sei por onde começar pode me dar um norte,bom dia com fac par identific probl de aquec em uma maquin
172,obrig exempl inspir,voce e um otimo interlocutor,bastante insatisfeito falta responsabilidade empresa,com identific e solucion problem no sistem hidraul,tud bem com voc
173,obrigado por sua ajuda inestimavel,vou encerr a convers por aqu,estou indign com essa situaça,maquina vibrando excessivamente posso solucionar problema,oi prec ajud solucion probl lubrificac
174,obrig por sua pront em resolv probl,encerrando conversa aqui,que decepçao,o que fazer para solucionar um problema de superaquecimento da minha maquina,oi tud bom com po torn seu dia mais facil
175,obrig por sua pacienc e compreens,abc,nao val pen pas tud,dificuldades tomar decisao,oi com po ajud ness moment
176,obrig pel suport,later chapa,nao concordo com a taxa cobrada,o robo da minha fabrica parou de funcionar como posso conserta lo,boa tard poss ajud lo
177,agradec atença detalh profissional,obrig gentil,nao merec trat dess form,preciso ajuda resolver problema robo industrial,oi posso tornar jornada facil
178,muito obrigado pela sua atençao e prestatividade,agradec ajud chatbot encerr convers,nao entend as razo par a soluça propost,desafi complic,boa tarde o que posso fazer por voce
179,agradec por sua atença aos praz,obrig pel suport pod encerr convers,total falt de respeit,dificuldad enorm precis algu poss auxili,ola preciso ajude resolver problema
180,nao palavr agradec,bor la meu parceir,nao estou satisfeito com a assistencia recebida,estou com um desafi,ola estou a disposiçao para esclarecer suas duvidas
181,obrig tao compreens,falou caro,total falt consideraça,diagnosticar problema maquina,ola preciso resolver problema mecanico algum especialista pode ajudar
182,obrig pel suport tecnic,obrig pel orientac finaliz aqu convers,nao to feliz com o serviço,estou com um problema,oi po contribu dia
183,obrigado por tudo,foi bom convers com voc,bastante insatisfeito produto,nao sei lid voc pod dar conselh,ola posso simplificar tarefas
184,agradec orientaça suport,grand abrac,estou insatisfeito com a falta de soluçao para o meu problema,dificuldade solucionar problema eletrico maquina costura,bom dia problem eletr mecan
185,obrigado eficiencia,encerr chatbot obrig,estou profund desapont,pode ajudar encontrar soluçao,oi algu pod oferec orientac sobr proxim pass
186,muit obrig por sua dedicaça incansavel e expertis de alto nivel,ate mais tarde camarada,nao receb suport necessari,nao consig entend o que esta acontec pod me explic,boa tarde preciso assistencia tecnica
187,obrigado parceiro confiavel confiavel caminho sucesso,tenh bom descans amig,estou bastant insatisfeit,estou com uma dificuldade enorme,oi defeito maquina
188,foi muito gentil obrigado,agradec sua confianc,nao acredit vend,solucion problem sistem iluminaça fabric,ola precise de ajuda com problemas eletricos ou mecanicos
