,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
92,agradeço por facilitar as coisas,fiqu satisfeit soluço apresent,nao estou contente com a falta de comunicaçao eficiente,o que posso fazer,ola prec ajud
93,agradeço facilitar coisas,fiqu satisfeit a com as soluc apresent,nao contente falta comunicaçao eficiente,posso fazer,ola o que precisa de soluçao
94,agradeço por facilitar a coisas,fiqu satisfeit a com a soluc apresent,nao estou content com a falt de comunicaça eficient,o que poss faz,ola precisa soluçao
95,agradec por facilit as cois,fiqu satisfeit soluc apresent,nao content falt comunicaça eficient,poss faz,ola o que precis de soluça
96,agradec por facilit a cois,tudo resolvido encerrar conversa,nao estou content com a falt de comunicac eficient,o que po faz,ola precis soluça
97,agradec facilit cois,tud resolv encerr convers,nao content falt comunicac eficient,po faz,ola o que prec de soluc
98,gratidao pela prontidao,foi muito util conversar com voce obrigado,estou bastante insatisfeito com a falta de cuidado com o cliente,estou com um desafio,ola prec soluc
99,gratidao prontidao,util conversar voce obrigado,bastante insatisfeito falta cuidado cliente,desafio,bom dia como posso lhe ser util
100,gratida pel prontida,foi muit util convers com voc obrig,estou bastant insatisfeit com a falt de cuid com o client,estou com um desafi,bom dia posso util
101,gratida prontida,util convers voc obrig,bastant insatisfeit falt cuid client,desafi,bom dia com poss lhe ser util
102,grat pel pront,muit util convers voc obrig,nao estou feliz com a falta de atençao aos detalhes,estou com um desaf,bom dia poss util
103,grat pront,muito obrigado a pela ajuda,nao feliz falta atençao detalhes,desaf,bom dia com po lhe ser util
104,obrigado pela paciencia,obrigado ajuda,nao estou feliz com a falt de atença aos detalh,estou com um dilema,bom dia po util
105,obrigado paciencia,muit obrig a pel ajud,nao feliz falt atença detalh,dilema,e ai qual e a necessidade
106,obrig pel pacienc,obrig ajud,nao estou feliz com a falt de atenc aos detalh,estou com um dilem,ai necessidade
107,obrig pacienc,muit obrig pel ajud,nao feliz falt atenc detalh,dilem,e ai qual e a necess
108,muito obrigado pela generosidade,encerrar chatbot obrigado,estou muito aborrecido com a falta de compromisso da empresa,estou com um dil,ai necess
109,obrigado generosidade,encerr chatbot obrig,aborrecido falta compromisso empresa,dil,oi como posso resolver isso
110,muit obrig pel generos,valeu pela ajuda encerrando a conversa agora,estou muit aborrec com a falt de compromiss da empres,alguma ideia,oi posso resolver
111,obrig generos,valeu ajuda encerrando conversa agora,aborrec falt compromiss empres,algum ide,oi com poss resolv isso
112,muit obrig pel gener,val pel ajud encerr a convers agor,muit aborrec falt compromiss empres,nao sei por onde começar,oi poss resolv
113,obrig gener,val ajud encerr convers agor,nao estou satisfeito com a falta de cumprimento das promessas,nao sei onde começar,oi com po resolv isso
114,muit obrig pel gen,val pel ajud encerr convers agor,nao satisfeito falta cumprimento promessas,nao sei por onde comec,oi po resolv
115,obrig gen,finalizar chat obrigado pela ajuda,nao estou satisfeito com a falta de cumprimento da promessas,nao sei onde comec,e ai
116,agradeço pela disponibilidade em compartilhar conhecimento,finalizar chat obrigado ajuda,nao estou satisfeit com a falt de cumpriment das promess,estou com dificuldade para resolver,ai
117,agradeço disponibilidade compartilhar conhecimento,finaliz chat obrig pel ajud,nao estou satisfeit com a falt de cumpriment da promess,dificuldade resolver,oi tudo tranquilo
118,agradec pel disponibil em compartilh conhec,finaliz chat obrig ajud,nao satisfeit falt cumpriment promess,estou com dificuldad par resolv,oi tud tranquil
119,agradec disponibil compartilh conhec,agradeço pela ajuda ate mais,estou insatisfeito com a falta de qualidade do produto,dificuldad resolv,bom dia pode me ajudar
120,agradec pel disponibil compartilh conhec,agradeço ajuda ate,insatisfeito falta qualidade produto,dificuldad par resolv,bom dia pode ajudar
121,obrigada,agradec pel ajud ate mais,estou insatisfeit com a falt de qualidad do produt,estou com uma dificuldade enorme,bom dia pod me ajud
122,tks,agradec ajud ate,insatisfeit falt qualidad produt,dificuldade enorme,bom dia pod ajud
123,thank you,agradec pel ajud ate,nao estou contente com a falta de transparencia nas informaçoes,estou com uma dificuldad enorm,oi precisa de ajuda
124,valeu,tchau ate mais,nao contente falta transparencia informaçoes,dificuldad enorm,oi precisa ajuda
125,val,tchau ate,nao estou contente com a falta de transparencia na informaçoes,estou com uma dificuldade imensa,oi precis de ajud
126,obrigada pela ajuda,foi um otimo atendimento podemos encerrar agora,nao estou content com a falt de transparenc nas informaço,dificuldade imensa,oi precis ajud
127,obrigada ajuda,otimo atendimento podemos encerrar agora,nao estou content com a falt de transparenc na informaço,estou com uma dificuldad imens,oi prec de ajud
128,muito obrigada,foi um otim atend pod encerr agor,nao content falt transparenc informaço,dificuldad imens,oi prec ajud
129,ogd,otim atend pod encerr agor,nao estou content com a falt de transparenc nas informac,preciso de orientaçao,bom dia
130,agradeço muito,muito obrigado pelo suporte encerrando aqui,nao estou content com a falt de transparenc na informac,preciso orientaçao,boa tarde
131,agradec muit,obrigado suporte encerrando aqui,nao content falt transparenc informac,precis de orientaça,boa tard
132,obrigado por sua ajuda,muit obrig pel suport encerr aqu,estou bastante insatisfeito com a falta de suporte tecnico adequado,precis orientaça,oi como esta
133,obrig por sua ajud,obrig suport encerr aqu,bastante insatisfeito falta suporte tecnico adequado,prec de orientac,oi com esta
134,muito obrigado por sua ajuda,encerrando aqui a conversa todas as duvidas foram solucionadas,estou bastant insatisfeit com a falt de suport tecnic adequ,prec orientac,oi em que posso ajudar
135,muit obrig por sua ajud,encerrando aqui conversa todas duvidas solucionadas,bastant insatisfeit falt suport tecnic adequ,estou enfrentando um obstaculo,oi posso ajudar
136,muit obrig ajud,encerrando aqui a conversa toda a duvidas foram solucionadas,nao estou feliz com a falta de eficiencia no atendimento,enfrentando obstaculo,oi em que poss ajud
137,agradeço muito por sua ajuda,encerr aqu a convers tod as duv for solucion,nao feliz falta eficiencia atendimento,estou enfrent um obstacul,oi poss ajud
138,agradeço ajuda,encerrando aqui conversa toda duvidas solucionadas,nao estou feliz com a falt de eficienc no atend,enfrent obstacul,oi em que po ajud
139,agradec muit por sua ajud,encerr aqu a convers tod a duv for solucion,nao feliz falt eficienc atend,preciso superar um desafio,oi po ajud
140,agradec ajud,encerr aqu convers tod duv solucion,estou muito irritado com a falta de acompanhamento do meu problema,preciso superar desafio,boa noite alguem pode me ajudar
141,agradec muit ajud,agradeço pela ajuda encerrando a conversa,irritado falta acompanhamento problema,precis super um desafi,boa noite alguem pode ajudar
142,obrigado pela resposta,agradeço ajuda encerrando conversa,estou muit irrit com a falt de acompanh do meu problem,precis super desafi,boa noit algu pod me ajud
143,obrigado resposta,agradec pel ajud encerr a convers,irrit falt acompanh problem,prec sup um desaf,boa noit algu pod ajud
144,obrig pel respost,agradec ajud encerr convers,muit irrit falt acompanh problem,prec sup desaf,oi estou com uma duvida em relaçao a manutençao preventiva
145,obrig respost,agradec pel ajud encerr convers,estou muit irrit com a falt de acompanh do meu probl,estou com um desafio complicado,oi duvida relaçao manutençao preventiva
146,muito obrigado pela resposta,obrigado pelo suporte vamos encerrar agora,muit irrit falt acompanh probl,desafio complicado,oi estou com uma duv em relaça a manutença prevent
147,muit obrig pel respost,obrigado suporte vamos encerrar agora,irrit falt acompanh probl,estou com um desafi complic,oi duv relaça manutença prevent
148,agradeço muito pela resposta,obrig pel suport vam encerr agor,nao estou satisfeito com a falta de disponibilidade do suporte,desafi complic,oi estou com uma duv em relac a manutenc prevent
149,agradeço resposta,obrig suport vam encerr agor,nao satisfeito falta disponibilidade suporte,estou com um desaf complic,oi duv relac manutenc prevent
150,agradec muit pel respost,thanks closing the chat now,nao estou satisfeit com a falt de disponibil do suport,desaf complic,ola o que precisa
151,agradec respost,encerrando a conversa obrigado,nao satisfeit falt disponibil suport,algum conselho,ola precisa
152,obrigado pela sua atençao,encerrando conversa obrigado,estou insatisfeito com a falta de atençao aos prazos,algum conselh,ola o que precis
153,obrig pel sua atença,encerr a convers obrig,insatisfeito falta atençao prazos,nao sei como lidar com isso,ola precis
154,obrig pel sua atenc,encerr convers obrig,estou insatisfeit com a falt de atença aos praz,nao sei lidar,ola o que prec
155,muito obrigado pela sua atençao,agradeço imensamente encerrando por aqui,insatisfeit falt atença praz,nao sei com lid com isso,ola prec
156,muit obrig pel sua atença,agradeço imensamente encerrando aqui,estou insatisfeit com a falt de atenc aos praz,nao sei lid,tudo bem
157,muit obrig pel atença,agradec imens encerr por aqu,insatisfeit falt atenc praz,estou com dificuldades para lidar,tud bem
158,muit obrig pel sua atenc,agradec imens encerr aqu,nao estou contente com a falta de competencia da equipe,dificuldades lidar,ola poderia me orientar
159,muit obrig pel atenc,encerrando a conversa aqui obrigado pela ajuda,nao contente falta competencia equipe,estou com dificuldad par lid,ola poderia orientar
160,agradeço muito pela sua atençao,encerrando conversa aqui obrigado ajuda,nao estou content com a falt de competenc da equip,dificuldad lid,ola pod me orient
161,agradeço atençao,encerr a convers aqu obrig pel ajud,nao content falt competenc equip,dificuldad par lid,ola pod orient
162,agradec muit pel sua atença,encerr convers aqu obrig ajud,estou bastante insatisfeito com a falta de responsabilidade da empresa,estou com dificuldades para entender,oi como faço para solucionar um problema de sobrecarga em uma maquina
163,agradec atença,encerr convers aqu obrig pel ajud,bastante insatisfeito falta responsabilidade empresa,dificuldades entender,oi faço solucionar problema sobrecarga maquina
164,agradec muit pel atença,finalizar chatbot agradeço a ajuda,estou bastant insatisfeit com a falt de respons da empres,estou com dificuldad par entend,oi com fac par solucion um problem de sobrecarg em uma maquin
165,agradec muit pel sua atenc,finalizar chatbot agradeço ajuda,bastant insatisfeit falt respons empres,dificuldad entend,oi fac solucion problem sobrecarg maquin
166,agradec muit pel atenc,finaliz chatbot agradec a ajud,nao estou feliz com a falta de cumprimento dos acordos,dificuldad par entend,oi fac par solucion problem sobrecarg maquin
167,agradec atenc,finaliz chatbot agradec ajud,nao feliz falta cumprimento acordos,preciso de um direcionamento,oi com fac par solucion um probl de sobrecarg em uma maquin
168,muito obrigado pela sua ajuda voce foi muito util,agradecido pela soluçao ate mais,nao estou feliz com a falta de cumprimento do acordos,preciso direcionamento,oi fac par solucion probl sobrecarg maquin
169,obrigado ajuda voce util,agradecido soluçao ate,nao estou feliz com a falt de cumpriment dos acord,precis de um direcion,oi fac solucion probl sobrecarg maquin
170,muit obrig pel sua ajud voc foi muit util,agradec pel soluça ate mais,nao estou feliz com a falt de cumpriment do acord,precis direcion,boa tarde por favor preciso de ajuda
171,obrig ajud voc util,agradec soluça ate,nao feliz falt cumpriment acord,prec de um direcion,boa tarde favor preciso ajuda
172,muit obrig pel ajud voc muit util,agradec pel soluça ate,estou muito revoltado com a falta de comprometimento da equipe,prec direcion,boa tard por favor precis de ajud
173,agradeço muito pela sua ajuda voce foi muito util,agradec pel soluc ate mais,revoltado falta comprometimento equipe,estou com dificuldades para encontrar uma soluçao,boa tard favor precis ajud
174,agradeço ajuda voce util,agradec pel soluc ate,estou muit revolt com a falt de compromet da equip,dificuldades encontrar soluçao,boa tard por favor prec de ajud
175,agradec muit pel sua ajud voc foi muit util,agradec soluc ate,revolt falt compromet equip,estou com dificuldad par encontr uma soluça,boa tard favor prec ajud
176,agradec ajud voc util,terminei de conversar obrigado a,muit revolt falt compromet equip,dificuldad encontr soluça,boa tarde posso ser util
177,agradec muit pel ajud voc muit util,terminei conversar obrigado,nao estou satisfeito com a falta de cuidado com as demandas dos clientes,dificuldad par encontr soluça,boa tarde posso util
178,vlw,termin de convers obrig a,nao satisfeito falta cuidado demandas clientes,estou com dificuldad par encontr uma soluc,boa tard poss ser util
179,muito obrigado foi de grande ajuda,termin convers obrig,nao estou satisfeito com a falta de cuidado com a demandas do clientes,dificuldad par encontr soluc,boa tard poss util
180,obrigado grande ajuda,encerrar obrigado pela ajuda,nao estou satisfeit com a falt de cuid com as demand dos client,dificuldad encontr soluc,boa tard po ser util
181,muit obrig foi de grand ajud,encerrar obrigado ajuda,nao estou satisfeit com a falt de cuid com a demand do client,estou com dificuldades para resolver,boa tard po util
182,obrig grand ajud,encerr obrig pel ajud,nao satisfeit falt cuid demand client,dificuldades resolver,oi galera
183,muit obrig grand ajud,encerr obrig ajud,estou insatisfeito com a falta de agilidade nas respostas,estou com dificuldades para prosseguir,oi gal
184,agradeço demais voce salvou meu dia,acho que e tudo por ora,insatisfeito falta agilidade respostas,dificuldades prosseguir,oi preciso de ajuda para instalar um novo painel eletrico em minha industria
185,agradeço demais voce salvou dia,acho tudo ora,estou insatisfeito com a falta de agilidade na respostas,estou com dificuldad par prossegu,oi preciso ajuda instalar novo painel eletrico industria
186,agradec dem voc salv meu dia,acho que e tudo por os,estou insatisfeit com a falt de agil nas respost,dificuldad prossegu,oi precis de ajud par instal um nov painel eletr em minh industr
187,agradec dem voc salv dia,acho que e tud por ora,estou insatisfeit com a falt de agil na respost,dificuldad par prossegu,oi precis ajud instal nov painel eletr industr
188,obrigado pela prontidao em responder,acho tudo,insatisfeit falt agil respost,estou com dificuldades para avançar,oi precis ajud par instal nov painel eletr minh industr
189,obrigado prontidao responder,acho que e tud por os,nao estou contente com a falta de acompanhamento do meu caso,dificuldades avançar,oi prec de ajud par instal um nov painel eletr em minh industr
190,obrig pel prontida em respond,acho tudo os,nao contente falta acompanhamento caso,estou com dificuldad par avanc,oi prec ajud par instal nov painel eletr minh industr
191,obrig prontida respond,acho tud ora,nao estou content com a falt de acompanh do meu cas,dificuldad avanc,oi prec ajud instal nov painel eletr industr
192,obrig pel prontida respond,acho tud os,nao content falt acompanh cas,dificuldad par avanc,ola preciso resolver um problema mecanico algum especialista pode me ajudar
193,obrig pel pront em respond,acho que e tudo por o,nao estou content com a falt de acompanh do meu ca,estou com dificuldades para progredir,ola preciso resolver problema mecanico algum especialista pode ajudar
194,obrig pel pront respond,acho que e tud por o,nao content falt acompanh ca,dificuldades progredir,ola precis resolv um problem mecan algum especial pod me ajud
195,obrig pront respond,acho tud,estou bastante insatisfeito com a falta de conhecimento tecnico da equipe,estou com dificuldad par progred,ola precis resolv problem mecan algum especial pod ajud
196,muito obrigado estou realmente grato,acho tudo o,bastante insatisfeito falta conhecimento tecnico equipe,dificuldad progred,ola prec resolv um probl mecan algum especial pod me ajud
197,obrigado realmente grato,acho tud o,estou bastant insatisfeit com a falt de conhec tecnic da equip,dificuldad par progred,ola prec resolv probl mecan algum especial pod ajud
198,muit obrig estou realment grat,obrigado pela orientaçao finalizando aqui a conversa,bastant insatisfeit falt conhec tecnic equip,alguma ajuda,bom dia como identificar quais sao as peças que precisam ser substituidas
199,obrig realment grat,obrigado orientaçao finalizando aqui conversa,nao estou feliz com a falta de compromisso com a qualidade,algum ajud,bom dia identificar quais sao peças precisam substituidas
200,muit obrig realment grat,obrig pel orientaça finaliz aqu a convers,nao feliz falta compromisso qualidade,estou com dificuldades para tomar uma decisao,bom dia como identificar quais sao a peças que precisam ser substituidas
201,agradeço de coraçao voce e incrivel,obrig orientaça finaliz aqu convers,nao estou feliz com a falt de compromiss com a qualidad,dificuldades tomar decisao,bom dia com identific qua sao as pec que precis ser substitu
202,agradeço coraçao voce incrivel,obrig pel orientaça finaliz aqu convers,nao feliz falt compromiss qualidad,estou com dificuldad par tom uma decisa,bom dia com identific qua sao a pec que precis ser substitu
203,agradec de coraça voc e incrivel,obrig pel orientac finaliz aqu a convers,estou muito descontente com a falta de atençao aos detalhes,dificuldad tom decisa,bom dia identific qua sao pec precis substitu
204,agradec coraça voc incrivel,obrig pel orientac finaliz aqu convers,descontente falta atençao detalhes,dificuldad par tom decisa,bom dia com identific qua sao as pec que prec ser substitu
205,agradec de corac voc e incrivel,obrig orientac finaliz aqu convers,estou muit descontent com a falt de atença aos detalh,estou com dificuldad par tom uma decis,bom dia com identific qua sao a pec que prec ser substitu
206,agradec corac voc incrivel,foi otimo conversar contigo muito obrigado,descontent falt atença detalh,dificuldad par tom decis,bom dia identific qua sao pec prec substitu
207,obrigado pelo suporte voce e top,otimo conversar contigo obrigado,muit descontent falt atença detalh,dificuldad tom decis,boa noite
208,obrigado suporte voce top,foi otim convers contig muit obrig,estou muit descontent com a falt de atenc aos detalh,estou com dificuldad par tom uma dec,boa noit
209,obrig pel suport voc e top,otim convers contig obrig,muit descontent falt atenc detalh,dificuldad par tom dec,oi tudo certo
210,obrig suport voc top,otim convers contig muit obrig,descontent falt atenc detalh,dificuldad tom dec,oi tud cert
211,obrig pel suport voc top,agradeço pela orientaçao encerrando a conversa,nao gostei,nao sei como resolver isso pode me auxiliar,oi como posso auxiliar
212,muito obrigado pela atençao dedicada,agradeço orientaçao encerrando conversa,nao gost,nao sei resolver pode auxiliar,oi posso auxiliar
213,obrigado atençao dedicada,agradec pel orientaça encerr a convers,pessimo serviço,nao sei com resolv isso pod me auxili,oi com poss auxili
