,pag_pt,pag_en,type_pt,type_en,equipment_pt,equipment_en,problem_pt,problem_en,cause_pt,cause_en,action_pt,action_en, _pt, _en
28,6,6,Mecânico,Mechanical,Bomba,Pumps,Capacidade ou pressão da bomba reduzida,Capacity or pressure of the pump reduced,Válvula de descarga fechada,Discharge valve closed,Verifique a direção da seta geralmente impressa no invólucro para verificar a direção de rotação; Solicite aos eletricistas que verifiquem as conexões de fiação e corrijam-nas,Check the direction of the arrow that is usually cast on the casing to verify the rotation direction; Have electricians check the wiring connections and correct them, , 
29,6,6,Mecânico,Mechanical,Bomba,Pumps,Capacidade ou pressão da bomba reduzida,Capacity or pressure of the pump reduced,Rotor montado incorretamente,Impeller mounted incorrectly,Solicite à manutenção mecânica que verifique a montagem do rotor e inverta o rotor no eixo,Have mechanical maintenance verify the impeller mounting and reverse the impeller on the shaft, , 
30,6,6,Mecânico,Mechanical,Bomba,Pumps,Capacidade ou pressão da bomba reduzida,Capacity or pressure of the pump reduced,"Defeitos mecânicos, como anéis desgastados, rotor danificado ou junta defeituosa do invólucro","Mechanical defects, such as worn rings, damaged impeller, or a defective casing gasket",Solicite à manutenção que verifique e corrija o problema,Have maintenance verify and correct the problem, , 
31,6,6,Mecânico,Mechanical,Bomba,Pumps,Capacidade ou pressão da bomba reduzida,Capacity or pressure of the pump reduced,Filtros obstruídos,Clogged filters,"Verifique a diferença de pressão através do filtro; Se a diferença de pressão estiver muito alta, troque e limpe os filtros","Check the pressure differential across the filter; If the differential is too high, change and clean filters", , 
32,6,6,Mecânico,Mechanical,Bomba,Pumps,Bomba não está fornecendo água,Pump failing to deliver water,Direção errada de rotação,Wrong direction of rotation,Verifique a direção da seta geralmente impressa no invólucro para verificar a direção de rotação; Solicite aos eletricistas que verifiquem as conexões de fiação e corrijam-nas,Check the direction of the arrow that is usually cast on the casing to verify the rotation direction; Have electricians check the wiring connections and correct them, , 
33,6,6,Mecânico,Mechanical,Bomba,Pumps,Bomba não está fornecendo água,Pump failing to deliver water,Linha de descarga bloqueada,Discharge line blocked,Verifique a direção da seta geralmente impressa no invólucro para verificar a direção de rotação; Solicite aos eletricistas que verifiquem as conexões de fiação e corrijam-nas,Check the direction of the arrow that is usually cast on the casing to verify the rotation direction; Have electricians check the wiring connections and correct them, , 
34,6,6,Mecânico,Mechanical,Bomba,Pumps,Bomba não está fornecendo água,Pump failing to deliver water,Válvula de descarga fechada,Discharge valve closed,Verifique a direção da seta geralmente impressa no invólucro para verificar a direção de rotação; Solicite aos eletricistas que verifiquem as conexões de fiação e corrijam-nas,Check the direction of the arrow that is usually cast on the casing to verify the rotation direction; Have electricians check the wiring connections and correct them, , 
35,6,6,Mecânico,Mechanical,Bomba,Pumps,Bomba não está fornecendo água,Pump failing to deliver water,Rotor montado incorretamente,Impeller mounted incorrectly,Solicite à manutenção mecânica que verifique a montagem do rotor e inverta o rotor no eixo,Have mechanical maintenance verify the impeller mounting and reverse the impeller on the shaft, , 
36,6,6,Mecânico,Mechanical,Bomba,Pumps,Bomba não está fornecendo água,Pump failing to deliver water,"Defeitos mecânicos, como anéis desgastados, rotor danificado ou junta defeituosa do invólucro","Mechanical defects, such as worn rings, damaged impeller, or a defective casing gasket",Solicite à manutenção que verifique e corrija o problema,Have maintenance verify and correct the problem, , 
37,6,6,Mecânico,Mechanical,Bomba,Pumps,Bomba não está fornecendo água,Pump failing to deliver water,Filtros obstruídos,Clogged filters,"Verifique o diferencial de pressão no filtro; Se o diferencial for muito alto, troque e limpe os filtros","Check the pressure differential across the filter; If the differential is too high, change and clean filters", , 
38,7,7,Mecânico,Mechanical,Bomba,Pumps,Motor utilizando energia excessiva na temperatura nominal,Motor using excessive power at rated temperature,Diferencial de pressão ou altura necessária menor do que o valor nominal,Required differential head or pressure lower than rated,Ajustar a válvula de descarga até alcançar a capacidade nominal,Throttle the discharge valve until the rated capacity is reached, , 
39,7,7,Mecânico,Mechanical,Bomba,Pumps,Relé de proteção do motor sendo acionado pela bomba,Motor protection relay being tripped by the pump,Diferencial de pressão ou altura necessária menor do que o valor nominal,Required differential head or pressure lower than rated,Ajustar a válvula de descarga até alcançar a capacidade nominal,Throttle the discharge valve until the rated capacity is reached, , 
40,8,8,Mecânico,Mechanical,Bomba,Pumps,Rolamentos superaquecendo,Bearings running hot,Alinhamento inadequado,Improper alignment,Realizar análise do ângulo de fase para determinar o desalinhamento do encanamento; Realizar análise de assentamento inadequado (soft-foot analysis); Verificar se a graxa correta está sendo utilizada e aplicada corretamente; Verificar se o rolamento foi instalado de acordo com o procedimento do fabricante,Perform phase angle analysis to determine piping misalignment; Perform soft-foot analysis; Check to see if the correct grease is used and correct application; Determine if the bearing was installed per manufacturer's procedure, , 
41,8,8,Mecânico,Mechanical,Bomba,Pumps,Rolamentos superaquecendo,Bearings running hot,Desalinhamento do encanamento,Piping misalignment,Realizar análise do ângulo de fase para determinar o desalinhamento do encanamento; Realizar análise de assentamento inadequado (soft-foot analysis); Verificar se a graxa correta está sendo utilizada e aplicada corretamente; Verificar se o rolamento foi instalado de acordo com o procedimento do fabricante,Perform phase angle analysis to determine piping misalignment; Perform soft-foot analysis; Check to see if the correct grease is used and correct application; Determine if the bearing was installed per manufacturer's procedure, , 
42,8,8,Mecânico,Mechanical,Bomba,Pumps,Rolamentos superaquecendo,Bearings running hot,Eixo torto,Bent shaft,Realizar análise do ângulo de fase para determinar o desalinhamento do encanamento; Realizar análise de assentamento inadequado (soft-foot analysis); Verificar se a graxa correta está sendo utilizada e aplicada corretamente; Verificar se o rolamento foi instalado de acordo com o procedimento do fabricante,Perform phase angle analysis to determine piping misalignment; Perform soft-foot analysis; Check to see if the correct grease is used and correct application; Determine if the bearing was installed per manufacturer's procedure, , 
43,8,8,Mecânico,Mechanical,Bomba,Pumps,Rolamentos superaquecendo,Bearings running hot,Lubrificação deficiente,Poor lubrication,Realizar análise do ângulo de fase para determinar o desalinhamento do encanamento; Realizar análise de assentamento inadequado (soft-foot analysis); Verificar se a graxa correta está sendo utilizada e aplicada corretamente; Verificar se o rolamento foi instalado de acordo com o procedimento do fabricante,Perform phase angle analysis to determine piping misalignment; Perform soft-foot analysis; Check to see if the correct grease is used and correct application; Determine if the bearing was installed per manufacturer's procedure, , 
44,8,8,Mecânico,Mechanical,Bomba,Pumps,Rolamentos superaquecendo,Bearings running hot,Excesso de graxa,Over-greasing,Realizar análise do ângulo de fase para determinar o desalinhamento do encanamento; Realizar análise de assentamento inadequado (soft-foot analysis); Verificar se a graxa correta está sendo utilizada e aplicada corretamente; Verificar se o rolamento foi instalado de acordo com o procedimento do fabricante,Perform phase angle analysis to determine piping misalignment; Perform soft-foot analysis; Check to see if the correct grease is used and correct application; Determine if the bearing was installed per manufacturer's procedure, , 
45,8,8,Mecânico,Mechanical,Bomba,Pumps,Rolamentos superaquecendo,Bearings running hot,Fundações inadequadas,Poor foundations,Realizar análise do ângulo de fase para determinar o desalinhamento do encanamento; Realizar análise de assentamento inadequado (soft-foot analysis); Verificar se a graxa correta está sendo utilizada e aplicada corretamente; Verificar se o rolamento foi instalado de acordo com o procedimento do fabricante,Perform phase angle analysis to determine piping misalignment; Perform soft-foot analysis; Check to see if the correct grease is used and correct application; Determine if the bearing was installed per manufacturer's procedure, , 
46,8,8,Mecânico,Mechanical,Bomba,Pumps,Rolamentos superaquecendo,Bearings running hot,Rolamentos mal ajustados,Improperly fitted bearings,Realizar análise do ângulo de fase para determinar o desalinhamento do encanamento; Realizar análise de assentamento inadequado (soft-foot analysis); Verificar se a graxa correta está sendo utilizada e aplicada corretamente; Verificar se o rolamento foi instalado de acordo com o procedimento do fabricante,Perform phase angle analysis to determine piping misalignment; Perform soft-foot analysis; Check to see if the correct grease is used and correct application; Determine if the bearing was installed per manufacturer's procedure, , 
47,9,9,Mecânico,Mechanical,Bomba,Pumps,Rolamentos superaquecendo (continuação),Bearings running hot (continued),Utilização de um rolamento substituto que nunca foi substituído pelo modelo original especificado,Bearing substitute used and never replaced with original specification model,"Utilizar o sistema de gerenciamento de manutenção para verificar se o rolamento foi substituído em uma situação de emergência por um rolamento substituto, devido à falta do modelo especificado originalmente",Use the maintenance management tracking system to see if the bearing was replaced in an emergency with a substitute bearing because it was, , 
48,9,9,Mecânico,Mechanical,Bomba,Pumps,Descarga insuficiente,Insufficient discharge,Vazamentos de ar na linha de sucção ou caixa de gaxetas,Air leaks in suction line or stuffing box,Apertar levemente as glândulas; Verificar a linha de sucção em busca de vazamentos,Close enough, , 
49,9,9,Mecânico,Mechanical,Bomba,Pumps,Descarga insuficiente,Insufficient discharge,Anéis de desgaste desgastados ou danificados e o substituto nunca foi substituído pelo correto,Wear rings worn or damaged,Substituir os anéis de desgaste pelo modelo correto,And the substitute was never replaced with the correct one, , 
50,9,9,Mecânico,Mechanical,Bomba,Pumps,Descarga insuficiente,Insufficient discharge,Válvula de pé muito pequena,Foot valve too small,Apertar ligeiramente as glândulas; Verificar a linha de sucção em busca de vazamentos,Tighten the glands slightly; Check the suction line for leaks, , 
51,10,10,Mecânico,Mechanical,Bomba,Pumps,Consumo excessivo de energia,Excessive power consumption,Velocidade muito alta,Speed too high,Determinar a velocidade correta e a gravidade específica ou viscosidade; Pode ser necessária uma alteração de projeto,Determine the correct speed and specific gravity or viscosity; A design change may be required, , 
52,10,10,Mecânico,Mechanical,Bomba,Pumps,Consumo excessivo de energia,Excessive power consumption,Gravidade específica ou viscosidade alta,Specific gravity or viscosity too high,Determinar a velocidade correta e a gravidade específica ou viscosidade; Pode ser necessária uma alteração de projeto,Determine the correct speed and specific gravity or viscosity; A design change may be required, , 
53,10,10,Mecânico,Mechanical,Bomba,Pumps,Consumo excessivo de energia,Excessive power consumption,Eixo dobrado,Bent shaft,Substituir o eixo,Replace the shaft, , 
54,10,10,Mecânico,Mechanical,Bomba,Pumps,Consumo excessivo de energia,Excessive power consumption,Elemento rotativo preso,Rotating element binds,Remover o eixo e inspecionar,Remove the shaft and inspect, , 
55,10,10,Mecânico,Mechanical,Bomba,Pumps,Consumo excessivo de energia,Excessive power consumption,Caixas de gaxetas muito apertadas,Stuffing boxes too tight,Solte levemente a glândula se a caixa de gaxetas estiver muito apertada,Loosen the gland slightly if the stuffing box is too tight, , 
56,10,10,Mecânico,Mechanical,Bomba,Pumps,Consumo excessivo de energia,Excessive power consumption,Anéis de desgaste desgastados,Wearing rings worn,Substituir os anéis,Replace the rings, , 
57,11,11,Mecânico,Mechanical,Rolamento,Bearings,Superaquecimento,Overheating,"Tipo errado de graxa ou óleo, causando a quebra do lubrificante",Wrong type of grease or oil causing breakdown of the lubricant,Consulte o fabricante do lubrificante para verificar o grau correto de lubrificante e substitua a graxa ou o óleo antigo pelo correto,"Consult with the lubricant manufacturer to verify correct grade of lubricant, and replace the old grease or oil with the correct one", , 
58,11,11,Mecânico,Mechanical,Rolamento,Bearings,Superaquecimento,Overheating,Baixo nível de óleo,Low oil level,Adicione óleo até que o nível de óleo esteja logo abaixo do centro da esfera ou do rolo mais baixo do rolamento,Add oil until the oil level is just below the center of the lowest ball or roller in the bearing, , 
59,11,11,Mecânico,Mechanical,Rolamento,Bearings,Superaquecimento,Overheating,Perda de óleo através da vedação,Loss of oil through the seal,Adicione óleo até que o nível de óleo esteja logo abaixo do centro da esfera ou do rolo mais baixo do rolamento,Add oil until the oil level is just below the center of the lowest ball or roller in the bearing, , 
60,11,11,Mecânico,Mechanical,Rolamento,Bearings,Superaquecimento,Overheating,"Carcaça superlotada com graxa, causando agitação excessiva do lubrificante","Housing overpacked with grease, causing excessive churning of the lubricant",Purge o rolamento até que apenas a metade inferior esteja preenchida com 1/2 a 2/3 de graxa,Purge the bearing until only the lower half is 1/2 to 2/3 full of grease, , 
61,11,11,Mecânico,Mechanical,Rolamento,Bearings,Superaquecimento,Overheating,Folga interna inadequada devido ao uso de um rolamento substituto,Inadequate internal clearance from using a substitute bearing,Substitua por um rolamento que atenda à especificação de projeto original,Replace with a bearing that meets the original design specification, , 
62,12,12,Mecânico,Mechanical,Rolamento,Bearings,Superaquecimento (continuação),Overheating (continued),Alojamento com furo fora de redondo,Housing bore out of round,Determine qual é o verdadeiro diâmetro interno e raspe o alojamento para aliviar o aperto do rolamento,Determine what the true bore is and scrape the housing to relieve the pinching of the bearing, , 
63,12,12,Mecânico,Mechanical,Rolamento,Bearings,Superaquecimento (continuação),Overheating (continued),Alojamento empenado,Housing warped,Determine qual é o verdadeiro diâmetro interno e raspe o alojamento para aliviar o aperto do rolamento,Determine what the true bore is and scrape the housing to relieve the pinching of the bearing, , 
64,12,12,Mecânico,Mechanical,Rolamento,Bearings,Superaquecimento (continuação),Overheating (continued),Vedantes rotativos atritando contra peças estacionárias,Rotating seals rubbing against stationary parts,Verifique a folga do vedante rotativo para eliminar o atrito; Verifique o alinhamento do rolamento,Check the running clearance of the rotating seal to eliminate rubbing; Check the alignment of the bearing, , 
65,12,12,Mecânico,Mechanical,Rolamento,Bearings,Superaquecimento (continuação),Overheating (continued),Orifícios de retorno de óleo bloqueados,Blocked oil return holes,Limpe os orifícios; Investigue o tipo de detritos,Clean the holes; Investigate the type of debris, , 
66,12,12,Mecânico,Mechanical,Rolamento,Bearings,Superaquecimento (continuação),Overheating (continued),Carga desbalanceada,Unbalanced load,Rebalanceie a máquina; Substitua o alojamento por um que tenha o diâmetro interno correto,Rebalance the machine; Replace the housing with one having the correct size bore, , 
67,12,12,Mecânico,Mechanical,Rolamento,Bearings,Superaquecimento (continuação),Overheating (continued),Diâmetro interno do alojamento muito grande,Housing bore too large,"Limpe os orifícios obstruídos para ventilar a medição de óleo; Certifique-se de que o material do rolamento não está causando a obstrução; Se estiver, o rolamento poderá precisar de revisão ou substituição","Clean the clogged holes to vent the oil gauge; Ensure bearing material is not the clogging agent; If it is, the bearing may have to be overhauled or replaced", , 
68,13,13,Mecânico,Mechanical,Rolamento,Bearings,Superaquecimento (continuação),Overheating (continued),Nível de óleo incorreto causando insuficiência de lubrificação,Incorrect oil level causing insufficient oil to reach the bearing,Verifique as especificações de óleo para a máquina e use o grau correto de lubrificante,"Check oil specs for the machine, and use the correct grade of lubricant", , 
69,13,13,Mecânico,Mechanical,Rolamento,Bearings,Superaquecimento (continuação),Overheating (continued),"Tipo errado de lubrificante, que se degradou e perdeu suas propriedades lubrificantes","Wrong type of lubricant, which has broken down and lost its lubricating properties",Limpe o alojamento do rolamento; Substitua quaisquer vedantes desgastados,Clean out the bearing housing; Replace any worn seals, , 
70,14,14,Mecânico,Mechanical,Rolamento,Bearings,Rolamento barulhento,Noisy bearing,"Entrada de sujeira, areia e carbono no alojamento do rolamento","Foreign matter such as dirt, sand, and carbon entering the bearing housing",Limpe o alojamento do rolamento; Substitua quaisquer vedantes desgastados,Clean out the bearing housing; Replace any worn seals, , 
71,14,14,Mecânico,Mechanical,Rolamento,Bearings,Rolamento barulhento,Noisy bearing,Brinnelling,Brinnelling,Gire os eixos 1/4 de volta em todas as máquinas estacionárias pelo menos uma vez a cada duas semanas,Rotate shafts 1/4 turn in all stationary machines at least once per two weeks, , 
72,14,14,Mecânico,Mechanical,Rolamento,Bearings,Rolamento barulhento,Noisy bearing,Formação de arcos elétricos estáticos nos rolamentos,Static electrical arcing in the bearings,Adicione uma proteção ou uma saliência para afastar qualquer sujeira estranha,Add a shroud or a finger to throw off any foreign matter, , 
73,15,15,Mecânico,Mechanical,Rolamento,Bearings,Rolamento barulhento (continuação),Noisy bearing (continued),Entrada de agentes corrosivos no rolamento,Corrosive agents entering the bearing,Limpe cuidadosamente o alojamento e sempre use lubrificante novo,Carefully clean the housing and always use fresh lubricant, , 
74,15,15,Mecânico,Mechanical,Rolamento,Bearings,Rolamento barulhento (continuação),Noisy bearing (continued),Falha em remover sujeira do alojamento do rolamento antes de montar a unidade de rolamento,Failure to remove foreign matter from the bearing housing before assembling the bearing unit,Limpe cuidadosamente o alojamento e sempre use lubrificante novo,Carefully clean the housing and always use fresh lubricant, , 
75,15,15,Mecânico,Mechanical,Rolamento,Bearings,Rolamento barulhento (continuação),Noisy bearing (continued),Plano em uma esfera ou rolo devido ao escorregamento,A flat on a ball or a roller due to skidding,Substitua o rolamento,Replace the bearing, , 
76,16,16,Mecânico,Mechanical,Rolamento,Bearings,Rolamento barulhento (continuação),Noisy bearing (continued),Rolamento montado incorretamente,Incorrectly mounted bearing,Substitua o rolamento sem bater em nenhuma parte dele; Use uma prensa para instalar o rolamento ou aqueça ou resfrie uniformemente o rolamento para ajustá-lo,Replace the bearing without hammering any part of it; Use a press to install the bearing or uniformly heat or chill bearing to set it, , 
77,16,16,Mecânico,Mechanical,Rolamento,Bearings,Rolamento barulhento (continuação),Noisy bearing (continued),Rolamento martelado no eixo ou no alojamento,Bearing hammered onto the shaft or into the housing,Substitua o rolamento sem bater em nenhuma parte dele; Use uma prensa para instalar o rolamento ou aqueça ou resfrie uniformemente o rolamento para ajustá-lo,Replace the bearing without hammering any part of it; Use a press to install the bearing or uniformly heat or chill bearing to set it, , 
78,16,16,Mecânico,Mechanical,Rolamento,Bearings,Rolamento barulhento (continuação),Noisy bearing (continued),Interferência de outras partes móveis da máquina,Interference of other movable parts of the machine,Verifique cada parte móvel em busca de interferência; Reajuste as peças para fornecer a folga necessária,Check every moving part for interference; Reset the parts to provide the necessary clearance, , 
